,pnu,price,year
0,4122033021100040004,136000,2016
1,4122033021100090000,144000,2016
2,4122033021100340000,150000,2016
3,4122033021100370001,258000,2016
4,4122033021100460000,79000,2016
5,4122033021100630000,132000,2016
6,4122033021100820001,129000,2016
7,4122033021100950000,164000,2016
8,4122033021101140001,110000,2016
9,4122033021101310002,329000,2016
10,4122033021101840008,333000,2016
11,4122033021102030006,252000,2016
12,4122033021102120010,333000,2016
13,4122033021102180004,514000,2016
14,4122033021102250003,229000,2016
15,4122033021102350000,144000,2016
16,4122033021102560007,172000,2016
17,4122033021102580000,107000,2016
18,4122033021102660004,290000,2016
19,4122033021102900001,100000,2016
20,4122033021102950000,80500,2016
21,4122033021103350000,125000,2016
22,4122033021103430002,265000,2016
23,4122033021103740000,142000,2016
24,4122033021103860000,90000,2016
25,4122033021104290001,103000,2016
26,4122033021104630000,99000,2016
27,4122033021105530014,298000,2016
28,4122033021105730000,303000,2016
29,4122033021200610001,302000,2016
30,4122033021200820002,88000,2016
31,4122033021200980001,140000,2016
